id,type,title,description_ca,description_es,description_en,repository,doi,url,year,licence
citsci-bias-data,dataset,Assessing and Correcting Neighborhood Socioeconomic Spatial Sampling Biases in Citizen Science Mosquito Data Collection,"Notificacions de ciència ciutadana de Mosquito Alert a Barcelona (2014–2023), juntament amb dades de vigilància d’embornals i trampes de mosquits, utilitzades per avaluar i corregir els biaixos de mostreig socioeconòmics entre barris.","Notificaciones de ciencia ciudadana de Mosquito Alert en Barcelona (2014–2023), junto con datos de vigilancia de imbornales y trampas de mosquitos, utilizadas para evaluar y corregir los sesgos de muestreo socioeconómicos entre barrios.","Mosquito Alert citizen science reports from Barcelona (2014–2023), with catch basin and mosquito trap surveillance data, used to assess and correct neighbourhood socioeconomic sampling biases.",zenodo,10.5281/zenodo.10684356,https://zenodo.org/records/10684356,2024,CC BY 4.0
str-genotyping-data,dataset,A fast and inexpensive genotyping system for the simultaneous analysis of human and Aedes albopictus short tandem repeats,Dades que donen suport a un sistema de genotipat de baix cost que analitza alhora les repeticions curtes en tàndem de persones i de mosquits Aedes albopictus.,Datos que respaldan un sistema de genotipado de bajo coste que analiza a la vez las repeticiones cortas en tándem de personas y de mosquitos Aedes albopictus.,Data supporting a low-cost genotyping system that analyses short tandem repeats of humans and Aedes albopictus mosquitoes at the same time.,zenodo,10.5281/zenodo.8328858,https://zenodo.org/records/8328858,2023,CC BY 4.0
distancia-covid-contacts,dataset,Distancia-Covid Contact Estimates for Spain,"Nombre mitjà estimat de convivents i de contactes no convivents per grup d’edat a Espanya el 2020 i el 2021, per al conjunt del país i per comunitat autònoma, obtingut a partir de l’enquesta Distancia-Covid del CSIC.","Número medio estimado de convivientes y de contactos no convivientes por grupo de edad en España en 2020 y 2021, para el conjunto del país y por comunidad autónoma, obtenido a partir de la encuesta Distancia-Covid del CSIC.","Estimated mean numbers of co-residents and non-co-resident contacts by age group in Spain in 2020 and 2021, for the whole country and by autonomous community, derived from the CSIC Distancia-Covid survey.",zenodo,10.5281/zenodo.5983902,https://zenodo.org/records/5983902,2022,CC BY 4.0
distancia-covid-individual,dataset,Distancia-Covid Individual Contact Estimates for Spain,"Nombre estimat de convivents i de contactes no convivents per a cada individu de l’Enquesta de Població Activa el 2020 i el 2021, obtingut a partir de l’enquesta Distancia-Covid del CSIC.","Número estimado de convivientes y de contactos no convivientes para cada individuo de la Encuesta de Población Activa en 2020 y 2021, obtenido a partir de la encuesta Distancia-Covid del CSIC.","Estimated numbers of co-residents and non-co-resident contacts for each individual in the Spanish Labour Force Survey in 2020 and 2021, derived from the CSIC Distancia-Covid survey.",zenodo,10.5281/zenodo.6000858,https://zenodo.org/records/6000858,2022,CC BY 4.0
bites-jl,code,Bites.jl,"Paquet de Julia per simular i analitzar xarxes de picades entre mosquits i hostes, que inclou models amb diversos hostes per a la transmissió del virus del Nil Occidental.","Paquete de Julia para simular y analizar redes de picaduras entre mosquitos y huéspedes, que incluye modelos con varios huéspedes para la transmisión del virus del Nilo Occidental.","Julia package for simulating and analysing mosquito–host biting networks, including multi-host models for West Nile virus transmission.",zenodo,10.5281/zenodo.18088794,https://zenodo.org/records/18088794,2025,GPL-3.0
citsci-bias-code,code,"Open Code for ""Assessing and Correcting Neighborhood Socioeconomic Spatial Sampling Biases in Citizen Science Mosquito Data Collection""",Codi en R utilitzat per avaluar i corregir els biaixos de mostreig socioeconòmics entre barris en les dades de ciència ciutadana de Mosquito Alert a Barcelona.,Código en R utilizado para evaluar y corregir los sesgos de muestreo socioeconómicos entre barrios en los datos de ciencia ciudadana de Mosquito Alert en Barcelona.,R code used to assess and correct neighbourhood socioeconomic sampling biases in Mosquito Alert citizen science data from Barcelona.,zenodo,10.5281/zenodo.10796324,https://zenodo.org/records/10796324,2024,GPL-3.0
space-mapper,code,Space Mapper,"Aplicació mòbil centrada en la privadesa que mostra en un mapa els desplaçaments diaris d’una persona i li permet compartir, si ho vol, el seu historial d’ubicacions anonimitzat amb l’equip investigador.","Aplicación móvil centrada en la privacidad que muestra en un mapa los desplazamientos diarios de una persona y le permite compartir, si lo desea, su historial de ubicaciones anonimizado con el equipo investigador.",Privacy-focused mobile phone app that maps a person’s daily movements and lets them choose to share anonymised location history with researchers.,github,,https://github.com/ActivitySpaceProject/space_mapper,2020,GPL-3.0
